Date,Open,High,Low,Close,Volume,Adj Close,Ratio
2017-03-07,19040,19090,18940,19020,13914,19020,0.154585152838
2017-03-06,18670,18740,18570,18570,12211,18570,0.17615658363
2017-03-03,18440,18470,18270,18270,6034,18270,0.206204379562
2017-03-02,18700,18700,18290,18340,7634,18340,0.119390347163
2017-03-01,17860,18490,17860,18460,12280,18460,0.0542264752791
2017-02-28,18030,18310,18030,18270,14104,18270,0.0232198142415
2017-02-27,17970,18030,17850,17920,7237,17920,0.0934656741108
2017-02-24,17700,17790,17560,17570,10481,17570,0.152571926765
2017-02-23,18370,18440,18180,18210,27848,18210,0.128949615713
2017-02-22,18700,18790,18530,18750,7590,18750,0.12606473594548562
2017-02-21,18850,18980,18810,18970,6018,18970,0.1391529818496111
2017-02-20,18760,18900,18460,18900,3853,18900,0.13402959094865086
2017-02-17,18830,18990,18700,18800,20456,18800,0.14186248912097477
2017-02-16,19130,19290,19090,19230,22251,19230,0.10289115646258518
2017-02-15,19860,20110,19860,20010,12182,20010,0.07602339181286544
2017-02-14,19000,19000,18750,18780,13683,18780,0.040968342644320144
2017-02-13,18570,18630,18460,18600,17193,18600,0.03252032520325199
2017-02-10,17990,18100,17890,18050,16157,18050,0.08018433179723505
2017-02-09,17330,17410,17300,17360,2814,17360,0.1056985294117645
2017-02-08,17300,17400,17260,17350,4717,17350,0.09781659388646302
2017-02-07,17300,17400,17230,17390,5468,17390,0.11337466784765282
2017-02-06,17500,17530,17330,17500,10338,17500,0.09674582233948992
2017-02-03,17170,17170,16990,17050,4050,17050,0.13673655423883324
2017-02-02,17430,17450,16800,16800,11549,16800,0.08382229673093033
2017-02-01,17050,17290,17040,17280,9160,17280,0.07366638441998297
2017-01-31,17060,17400,16880,16920,35702,16920,0.07839866555462871
2017-01-30,17410,17490,17340,17440,13697,17440,0.08417508417508412
2017-01-27,17570,17630,17470,17490,13536,17490,0.18431001890359155
2017-01-26,17280,17500,17250,17480,12254,17480,0.19285042333019753
2017-01-25,17150,17160,17040,17120,17369,17120,0.17668825161887147
2017-01-24,16200,16350,16160,16340,7980,16340,0.17705510388437218
2017-01-23,15980,16060,15880,15930,17147,15930,0.15293118096856428
2017-01-20,15730,15850,15690,15840,47886,15840,0.197573656845754
2017-01-19,15780,15890,15730,15760,20030,15760,0.11267605633802824
2017-01-18,15510,15790,15510,15690,23879,15690,0.13621794871794868
2017-01-17,15670,15690,15450,15450,6264,15450,0.02611625947767493
2017-01-16,15660,15690,15550,15580,4885,15580,0.0845948352627
2017-01-13,15640,15840,15640,15820,11716,15820,0.08459483526268907
2017-01-12,15850,15850,15490,15490,10200,15490,0.0805892547660314
2017-01-11,15600,15620,15450,15540,15802,15540,0.11278863232682057
2017-01-10,15460,15500,15340,15360,13005,15360,0.12097476066144486
2017-01-06,15200,15330,15180,15260,12489,15260,0.13780918727915203
2017-01-05,15250,15290,15100,15170,13755,15170,0.11653813196229645
2017-01-04,14790,14880,14720,14880,17156,14880,0.11223628691983123
2016-12-30,13800,14060,13790,13960,19091,13960,0.07692307692307687
2016-12-29,14040,14110,14000,14090,10085,14090,0.10845175766641746
2016-12-28,14680,14730,14650,14660,6892,14660,0.12895752895752888
2016-12-27,14350,14500,14350,14470,6100,14470,0.1651376146788992
2016-12-26,14510,14510,14440,14470,3630,14470,0.2493438320209973
2016-12-22,14680,14690,14500,14540,10467,14540,0.2493438320209973
2016-12-21,14470,14610,14450,14540,24735,14540,0.24489795918367352
2016-12-20,14050,14300,14050,14290,28915,14290,0.010480349344978324
2016-12-19,13840,13840,13690,13750,29184,13750,0.03501280956447461
2016-12-16,13650,13730,13650,13710,9472,13710,0.04262295081967227
2016-12-15,13400,13500,13390,13460,27804,13460,0.018764659890539548
2016-12-14,13100,13110,12990,13080,20178,13080,0.0181956027293404
2016-12-13,12950,13140,12950,13080,9724,13080,0.04402515723270439
2016-12-12,13400,13440,13230,13280,22411,13280,0.0625
2016-12-09,12800,12910,12800,12900,6758,12900,0.1089361702127658
2016-12-08,12920,13000,12880,12950,12520,12950,0.0625
2016-12-07,13040,13100,13040,13040,8387,13040,0.09001636661211121
2016-12-06,12710,12730,12620,12720,46138,12720,0.11280746395250207
2016-12-05,11610,11770,11560,11710,20670,11710,0.11449752883031294
2016-12-02,11860,11960,11790,11890,8292,11890,0.06728045325779042
